City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Castro,BR,2021-10-22 00:57:51,-24.7911,-50.0119,51.3,93,0,5.46
60,Honningsvag,NO,2021-10-22 00:57:51,70.9821,25.9704,37.76,55,100,27.45
61,East London,ZA,2021-10-22 00:57:52,-33.0153,27.9116,68.05,87,99,3.29
62,Buala,SB,2021-10-22 00:57:52,-8.145,159.5921,82.24,76,100,6.87
63,Ikom,NG,2021-10-22 00:57:52,5.9667,8.7063,73.54,99,100,1.81
64,Vaini,TO,2021-10-22 00:57:53,-21.2,-175.2,80.76,78,40,11.5
65,Baykit,RU,2021-10-22 00:57:53,61.67,96.37,33.37,91,100,3.22
66,Antsohihy,MG,2021-10-22 00:57:53,-14.8796,47.9875,72.86,89,1,2.55
67,El Alto,PE,2021-10-22 00:57:54,-4.2714,-81.2147,63.82,87,86,11.61
68,North Bend,US,2021-10-22 00:57:54,43.4065,-124.2243,56.91,97,90,6.91
69,Ambon,ID,2021-10-22 00:57:54,-3.6954,128.1814,82.54,89,40,1.14
70,Bartlesville,US,2021-10-22 00:57:55,36.7473,-95.9808,61.02,76,87,4.81
71,Sibolga,ID,2021-10-22 00:57:55,1.7427,98.7792,80.19,77,91,1.39
72,Provideniya,RU,2021-10-22 00:57:55,64.3833,-173.3,28.51,59,0,8.95
73,Thompson,CA,2021-10-22 00:57:11,55.7435,-97.8558,30.36,93,90,6.91
74,Jizan,SA,2021-10-22 00:57:56,17.3333,42.6667,83.34,61,90,1.07
75,Mahesana,IN,2021-10-22 00:57:56,23.6,72.4,71.15,73,0,4.12
76,Trairi,BR,2021-10-22 00:55:36,-3.2778,-39.2689,79.52,80,100,9.33
77,Cape Town,ZA,2021-10-22 00:55:16,-33.9258,18.4232,61.21,71,20,5.99
78,Vanimo,PG,2021-10-22 00:57:57,-2.6741,141.3028,83.97,70,72,3.69
79,Talnakh,RU,2021-10-22 00:57:57,69.4865,88.3972,24.66,97,100,2.75
80,Upernavik,GL,2021-10-22 00:57:57,72.7868,-56.1549,21.78,93,100,7.96
81,Mataura,NZ,2021-10-22 00:57:58,-46.1927,168.8643,66.88,37,0,2.19
82,Namatanai,PG,2021-10-22 00:57:58,-3.6667,152.4333,84.04,71,100,5.55
83,Maharajganj,IN,2021-10-22 00:57:58,27.1333,83.5667,69.98,84,0,2.42
84,Geraldton,AU,2021-10-22 00:57:40,-28.7667,114.6,68.41,52,0,14.97
85,Princeton,US,2021-10-22 00:57:00,25.5384,-80.4089,81.01,80,1,1.99
86,Tuktoyaktuk,CA,2021-10-22 00:57:59,69.4541,-133.0374,28.4,93,40,5.75
87,Molina,CL,2021-10-22 00:58:00,-35.1167,-71.2833,60.53,100,100,4.61
88,Saldanha,ZA,2021-10-22 00:58:00,-33.0117,17.9442,59.05,81,100,18.3
89,Severo-Kurilsk,RU,2021-10-22 00:58:00,50.6789,156.125,39.7,64,99,9.28
90,Tasiilaq,GL,2021-10-22 00:57:40,65.6145,-37.6368,27.77,69,99,6.91
91,Arraial Do Cabo,BR,2021-10-22 00:58:01,-22.9661,-42.0278,66.16,82,75,0.0
92,Ancud,CL,2021-10-22 00:58:01,-41.8697,-73.8203,47.73,84,96,5.35
93,Lebu,CL,2021-10-22 00:58:02,-37.6167,-73.65,49.86,71,0,16.24
94,Shaowu,CN,2021-10-22 00:58:02,27.3409,117.4831,55.42,93,100,1.74
95,Mar Del Plata,AR,2021-10-22 00:57:23,-38.0023,-57.5575,66.22,86,0,18.99
96,Ucluelet,CA,2021-10-22 00:53:04,48.9329,-125.5528,54.09,92,100,3.0
97,Ongandjera,NA,2021-10-22 00:58:03,-17.8833,15.0667,61.0,30,6,7.43
98,Mandalgovi,MN,2021-10-22 00:58:04,45.7625,106.2708,33.01,37,27,6.93
99,Nata,PA,2021-10-22 00:58:04,8.3333,-80.5167,75.47,91,100,3.31
100,Bengkulu,ID,2021-10-22 00:58:05,-3.8004,102.2655,77.54,86,100,1.16
101,Maniitsoq,GL,2021-10-22 00:58:05,65.4167,-52.9,31.55,59,1,10.02
102,Esso,RU,2021-10-22 00:58:05,55.9333,158.7,22.08,85,83,4.74
103,Berlevag,NO,2021-10-22 00:58:06,70.8578,29.0864,35.35,54,100,23.8
104,Zlobin,HR,2021-10-22 00:58:06,45.2924,14.6541,53.38,91,75,2.3
105,Saskylakh,RU,2021-10-22 00:58:06,71.9167,114.0833,-0.44,100,98,3.27
106,Astana,KZ,2021-10-22 00:53:15,51.1801,71.446,31.95,86,75,13.42
107,Prince Rupert,CA,2021-10-22 00:57:31,54.3161,-130.3201,51.49,87,90,5.75
108,Boende,CD,2021-10-22 00:58:07,-0.2167,20.8667,69.57,100,100,0.74
