City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
489,Freetown,SL,80.31,light rain,8.484,-13.2299,The Country Lodge Hotel
491,Balsas,BR,81.27,broken clouds,-7.5325,-46.0356,Novo Hotel
493,Santa Rosa,PH,86.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
500,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
503,Sibu,MY,82.38,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
505,Guane,CU,77.74,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
506,Leeton,AU,85.89,clear sky,-34.5667,146.4,Historic Hydro Motor Inn
509,Osmena,PH,83.59,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
510,Mangrol,IN,77.27,clear sky,21.1167,70.1167,Hotel The Royal Honours
512,Humberto De Campos,BR,78.13,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
526,Soe,ID,85.6,broken clouds,-9.8607,124.284,Dena Hotel
530,Bahia Honda,CU,78.55,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
537,Sabang,ID,80.64,light rain,5.8933,95.3214,Hotel Citra
543,Pangai,TO,80.71,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
544,Petatlan,MX,82.2,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
546,Paka,MY,84.13,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
548,Port Macquarie,AU,76.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
549,Palu,ID,87.55,broken clouds,-0.8917,119.8707,Hotel Santika Palu
550,Namatanai,PG,83.93,light rain,-3.6667,152.4333,Seagulls Inn Namatani
552,Bubaque,GW,82.0,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
559,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
564,Faanui,PF,79.74,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
566,Axim,GH,77.67,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
569,Ilheus,BR,80.42,few clouds,-14.7889,-39.0494,Barravento Hotel
570,Ormara,PK,76.53,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
573,Trairi,BR,80.15,scattered clouds,-3.2778,-39.2689,janelas do mar
582,Shenzhen,CN,80.15,light rain,22.5455,114.0683,Shenzhen Shanghai Hotel
583,Buchanan,LR,77.13,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
584,Kalmunai,LK,77.09,overcast clouds,7.4167,81.8167,VS Villa
585,Trinidad,BO,80.92,overcast clouds,-14.8333,-64.9,Hotel Piesta
586,Dwarka,IN,79.95,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
587,Lubao,PH,86.14,overcast clouds,14.9167,120.55,Hacienda Gracia
592,Mount Gambier,AU,75.11,overcast clouds,-37.8333,140.7667,The Commodore
593,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
594,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
597,Sulangan,PH,82.29,moderate rain,11.1373,123.7228,Maia's Beach Resort
599,Cockburn Town,TC,82.11,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
603,Lethem,GY,77.67,scattered clouds,3.3803,-59.7968,Savannah Inn
605,Pemangkat,ID,82.36,scattered clouds,1.1667,108.9667,Ramah Kost KITA
609,Honiara,SB,88.43,broken clouds,-9.4333,159.95,Heritage Park Hotel
611,Galle,LK,76.19,overcast clouds,6.0367,80.217,Amangalla
615,Manggar,ID,84.38,scattered clouds,-2.8833,108.2667,Guest Hotel
624,Guatire,VE,77.5,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
627,Kavaratti,IN,81.3,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
628,Veraval,IN,77.58,clear sky,20.9,70.3667,Lords Inn Somnath
634,Akyab,MM,77.68,broken clouds,20.15,92.9,Hotel Memory
635,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,Auberge du Routard
636,Swan Hill,AU,81.79,scattered clouds,-35.3378,143.5544,Lazy River Motor Inn
637,Dhidhdhoo,MV,81.45,overcast clouds,6.8833,73.1,Dhidhoo beach
640,Angoche,MZ,76.24,few clouds,-16.2325,39.9086,Guest House HESADA
650,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
652,Boa Viagem,BR,77.74,scattered clouds,-5.1275,-39.7322,Inn and Steakhouse Aconchego
655,Nkhotakota,MW,77.13,clear sky,-12.9274,34.2961,Sitima Inn
657,Kiunga,PG,87.96,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
660,Kirakira,SB,84.76,overcast clouds,-10.4544,161.9205,SanBiz Lodge
662,Vanimo,PG,84.43,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
665,Sagua La Grande,CU,77.99,overcast clouds,22.8067,-80.0756,Hotel Telégrafo
667,Laje,BR,75.81,scattered clouds,-10.1833,-40.9667,NN Pousada
669,Prainha,BR,78.53,scattered clouds,-1.8,-53.48,Casa Rocha
673,Ulladulla,AU,76.77,clear sky,-35.35,150.4667,Sandpiper Motel
680,Lucea,JM,80.46,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
683,Guarapari,BR,75.09,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
688,Ternate,ID,84.67,few clouds,0.8,127.4,Grand Dafam Bela Ternate
690,Rabaul,PG,85.24,few clouds,-4.1967,152.1721,Rabaul Hotel
